language,id,language,id
pt,11548,es,9353
pt,11513,es,
pt,11444,es,
pt,11571,es,9359
pt,11584,es,7892
pt,11546,es,9351
pt,11535,es,9355
pt,11511,es,
pt,11442,es,
pt,11480,es,
pt,11576,es,
pt,11544,es,9349
pt,11509,es,
pt,11440,es,
pt,11496,es,9332
pt,11578,es,
pt,11574,es,
pt,11542,es,9347
pt,11507,es,
pt,11439,es,
pt,11478,es,
pt,11484,es,9327
pt,11540,es,9345
pt,11505,es,
pt,11435,es,
pt,11493,es,9329
pt,11538,es,
pt,11567,es,
pt,11434,es,
pt,11503,es,
pt,11476,es,
pt,11515,es,
pt,11525,es,
pt,11517,es,
pt,11501,es,
pt,11499,es,
pt,11491,es,
pt,11432,es,
pt,11486,es,9254
pt,11467,es,
pt,11423,es,
pt,11364,es,
pt,11362,es,
pt,11360,es,9258
pt,11346,es,
pt,11342,es,
pt,11310,es,9314
pt,11307,es,9312
pt,11305,es,
pt,11302,es,
pt,11300,es,9310
pt,11298,es,
pt,11295,es,
pt,11287,es,
pt,11286,es,
pt,11285,es,
pt,11284,es,
pt,11283,es,
pt,11282,es,
pt,11280,es,
pt,11278,es,
pt,11275,es,
pt,11273,es,
pt,11271,es,
pt,11269,es,
pt,11265,es,
pt,11266,es,
pt,11263,es,
pt,11261,es,
pt,11259,es,
pt,11257,es,
pt,11255,es,
pt,11253,es,
pt,11322,es,
pt,11325,es,
pt,11329,es,
pt,11247,es,
pt,11245,es,9275
pt,11243,es,9272
pt,11239,es,9270
pt,11237,es,9268
pt,11234,es,9265
pt,11232,es,9262
pt,11230,es,9176
pt,11226,es,
pt,11014,es,
pt,11010,es,9174
pt,11012,es,
pt,11000,es,
pt,10998,es,
pt,10993,es,9162
pt,10995,es,
pt,10989,es,
pt,10986,es,
pt,10984,es,
pt,10982,es,9290
pt,10935,es,9102
pt,10955,es,
pt,10936,es,
pt,10934,es,9100
pt,10951,es,
pt,10948,es,
pt,10946,es,
pt,10944,es,
pt,10942,es,
pt,10940,es,
pt,10938,es,
pt,10932,es,9098
pt,10933,es,
pt,10929,es,
pt,10927,es,9132
pt,10925,es,9130
pt,10923,es,9128
pt,10921,es,9089
pt,10919,es,
pt,10917,es,
pt,10915,es,
pt,10904,es,9084
pt,10909,es,
pt,10902,es,
pt,10901,es,
pt,10887,es,
pt,10882,es,9288
pt,10880,es,
pt,10878,es,
pt,10875,es,9051
pt,10877,es,
pt,10871,es,
pt,10868,es,
pt,10866,es,9041
pt,10864,es,9087
pt,10861,es,9082
pt,10859,es,
pt,10857,es,
pt,10876,es,
pt,10874,es,9049
pt,10853,es,
pt,10850,es,
pt,10848,es,
pt,10846,es,
pt,10845,es,8998
pt,10839,es,
pt,10827,es,
pt,10825,es,
pt,10823,es,
pt,10821,es,
pt,10817,es,
pt,10815,es,
pt,10805,es,
pt,10800,es,8993
pt,10798,es,
pt,10791,es,
pt,10789,es,
pt,10787,es,
pt,10782,es,
pt,10797,es,
pt,10747,es,8940
pt,10766,es,
pt,10762,es,
pt,10796,es,
pt,10746,es,8938
pt,10759,es,8965
pt,10753,es,
pt,10745,es,8935
pt,10755,es,
pt,10748,es,
pt,10740,es,8933
pt,10737,es,
pt,10735,es,8951
pt,10733,es,8949
pt,10731,es,8947
pt,10729,es,8945
pt,10727,es,8943
pt,10725,es,8929
pt,10718,es,
pt,10713,es,
pt,10707,es,
pt,10705,es,8927
pt,10699,es,
pt,10694,es,
pt,10691,es,
pt,10689,es,8916
pt,10683,es,
pt,10679,es,
pt,10677,es,9285
pt,10671,es,
pt,10668,es,
pt,10665,es,8897
pt,10663,es,8895
pt,10661,es,8893
pt,10659,es,
pt,10657,es,8895
pt,10655,es,8893
pt,10653,es,9117
pt,10590,es,
pt,10586,es,
pt,10650,es,9108
pt,10644,es,8925
pt,10642,es,8910
pt,10640,es,
pt,10638,es,8890
pt,10636,es,
pt,10634,es,9080
pt,10589,es,
pt,10585,es,
pt,10630,es,8888
pt,10628,es,
pt,10627,es,
pt,10625,es,
pt,10623,es,
pt,10621,es,
pt,10619,es,
pt,10615,es,
pt,10612,es,9038
pt,10584,es,
pt,10588,es,
pt,10601,es,
pt,10593,es,9004
pt,10587,es,
pt,10575,es,8877
pt,10571,es,
pt,10567,es,9001
pt,10565,es,
pt,10563,es,8858
pt,10561,es,8856
pt,10510,es,8851
pt,10517,es,
pt,10553,es,8976
pt,10549,es,
pt,10546,es,8908
pt,10544,es,8906
pt,10542,es,8904
pt,10540,es,8902
pt,10515,es,
pt,10509,es,8849
pt,10530,es,
pt,10528,es,8844
pt,10526,es,8842
pt,10524,es,
pt,10511,es,
pt,10505,es,8847
pt,10499,es,
pt,10496,es,
pt,10494,es,
pt,10492,es,
pt,10490,es,
pt,10461,es,8840
pt,10458,es,
pt,10453,es,
pt,10452,es,8835
pt,10448,es,
pt,10445,es,8837
pt,10443,es,8819
pt,10441,es,8817
pt,10439,es,8815
pt,10424,es,
pt,10422,es,
pt,10417,es,8813
pt,10414,es,
pt,10412,es,8809
pt,10407,es,8831
pt,10359,es,
pt,10351,es,8792
pt,10405,es,8806
pt,10399,es,8829
pt,10391,es,
pt,10389,es,8923
